,rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content
98,m/zootopia,James Berardinelli,True,ReelViews,Fresh,7.5,2016-03-06,There's a lot here for kids to like and nearly as much to keep parents from fidgeting.
99,m/zootopia,Charles Koplinski,False,Illinois Times,Fresh,8.75,2016-03-06,"Timely message buoys charming, clever ""Zootopia."""
100,m/zootopia,Allyson Johnson,False,The Young Folks,Fresh,9.0,2016-03-06,"From the enormity of the world building, the slick animation, the enthusiastic voice work done by a sprawling cast and a script that's intelligent and warm, Zootopia is already shaping up to be a highlight of the 2016 cinematic year."
101,m/zootopia,Laura Clifford,False,Reeling Reviews,Fresh,7.0,2016-03-06,"What an unexpected surprise, a Disney animation with Orwellian anthropomorphic political allegory and a film noir backdrop not seen since Roger Rabbit was framed."
102,m/zootopia,Stephen Silver,False,EntertainmentTell,Fresh,9.0,2016-03-07,"Exciting visuals, good characters, lots of laughs and even a timely allegory about American race relations. (Splice Today)"
103,m/zootopia,Susan Granger,False,SSG Syndicate,Fresh,10.0,2016-03-07,"The Mouse House may win the gold for Best Animated Feature in 2017 for this intrepid, action-packed comedy/police procedural parable."
104,m/zootopia,Frederic and Mary Ann Brussat,False,Spirituality & Practice,Fresh,6.0,2016-03-08,A spunky 3-D animated film about a bunny whose life is energized by big dreams and rock-solid optimism.
105,m/zootopia,John Hanlon,False,John Hanlon Reviews,Fresh,8.75,2016-03-09,"Reminiscent of ""Toy Story"" in its ability to create a wonderfully colorful world of its own, ""Zootopia"" is a fun film with undeniably important themes about diversity, inclusion and self-worth."
106,m/zootopia,Lou Lumenick,True,New York Post,Fresh,10.0,2016-03-10,Zootopia excels on so many levels that it stands with the finest of the Disney classics.
107,m/zootopia,Matt Patches,False,Thrillist,Fresh,7.199999999999999,2016-03-11,Impressionable kids and adults who swear they're progressive will both take something away from Zootopia.
108,m/zootopia,Ken Hanke,False,"Mountain Xpress (Asheville, NC)",Fresh,9.0,2016-03-13,"Gorgeous to look at, clever, funny and with a solid and atmospheric mystery at its core. But there's more here in the film's timely and relevant thematic content."
109,m/zootopia,Philippa Hawker,True,The Age (Australia),Fresh,7.0,2016-03-16,"The tale of a plucky rabbit and a sly fox, it's also a meditation on human nature, civil society and the politics of stereotyping. And it has great sloth jokes."
110,m/zootopia,Craig Mathieson,False,The Sunday Age,Fresh,8.0,2016-03-16,"In this zippy and entertaining children's animation that comes with an unusually thoughtful commentary on inclusion and discrimination, the animals don't just come out in the city at night, they literally run it during the day."
111,m/zootopia,Liam Maguren,False,Flicks.co.nz,Fresh,8.0,2016-03-17,Threatens to blow away Shane Black's The Nice Guys for Best Buddy-Cop Film of 2016.
112,m/zootopia,Donald Clarke,False,Irish Times,Fresh,8.0,2016-03-17,"Zootropolis has a plot you can really, ahem, sink teeth into."
113,m/zootopia,Michael Smith,False,Tulsa World,Fresh,8.75,2016-03-17,Wildly entertaining.
114,m/zootopia,Matt Neal,False,ABC Radio (Australia),Fresh,9.0,2016-03-17,"A surprisingly sharp examination of racial profiling, prejudice, equality and stereotyping, and how often can you say that about a kids movie?"
115,m/zootopia,Tim Martain,False,The Mercury (Australia),Fresh,10.0,2016-03-18,"Much like George Orwell used animals as an allegory for communism and social inequality, Disney has used Zootopia to deliver a story about prejudice and intolerance."
